Tempo(s),Fila1,Fila2,Fila3,TotalSistema,ServidorOcupado,E[N],E[W]
1540,6164,8999,9000,24164,1,13209.917079,815.394296
1550,6187,9000,9000,24188,1,13280.672668,824.126937
1560,6232,9000,9000,24233,1,13350.752678,832.088461
1570,6267,9000,9000,24268,1,13420.177779,840.501002
1580,6315,9000,9000,24316,1,13488.979157,848.431014
1590,6345,9000,9000,24346,1,13557.182814,856.855773
1600,6387,9000,9000,24388,1,13624.740551,865.028566
1610,6425,9000,9000,24426,1,13691.714445,873.327533
1620,6466,9000,9000,24467,1,13758.099540,881.441163
1630,6513,9000,9000,24514,1,13823.949022,889.368365
1640,6551,9000,9000,24552,1,13889.243813,897.563238
1650,6588,9000,9000,24589,1,13953.979056,905.781716
1660,6629,9000,9000,24630,1,14018.178428,913.881954
1670,6666,9000,9000,24667,1,14081.834136,922.005136
1680,6706,9000,9000,24707,1,14144.960704,930.006809
1690,6745,9000,9000,24746,1,14207.566778,938.031326
1700,6785,9000,9000,24786,1,14269.688943,946.118222
1710,6830,9000,9000,24831,1,14331.335903,954.046187
1720,6874,9000,9000,24875,1,14392.516628,961.737708
1730,6925,9000,9000,24926,1,14453.281419,969.304421
1740,6961,9000,9000,24962,1,14513.584847,977.383607
1750,7011,9000,9000,25012,1,14573.416391,984.766340
1760,7042,9000,9000,25043,1,14632.803417,993.087341
1770,7085,9000,9000,25086,1,14691.716526,1001.013868
1780,7130,9000,9000,25131,1,14750.258048,1008.855305
1790,7167,9000,9000,25168,1,14808.356488,1016.877973
1800,7207,9000,9000,25208,1,14866.024196,1024.732645
1810,7256,9000,9000,25257,1,14923.295829,1032.339593
1820,7299,9000,9000,25300,1,14980.190389,1040.132249
1830,7335,9000,8999,25335,1,15036.684864,1048.231812
1840,7377,9000,9000,25378,1,15092.763901,1055.919604
1850,7421,9000,9000,25422,1,15148.490460,1063.515895
1860,7463,9000,9000,25464,1,15203.828122,1071.462900
1870,7506,9000,9000,25507,1,15258.827634,1079.116847
1880,7547,9000,9000,25548,1,15313.458444,1086.962995
1890,7591,9000,9000,25592,1,15367.719835,1094.509194
1900,7622,9000,9000,25623,1,15421.622590,1102.580731
1910,7676,9000,9000,25677,1,15475.170233,1109.810203
1920,7721,9000,9000,25722,1,15528.426082,1117.487934
1930,7751,9000,9000,25752,1,15581.311350,1125.657155
1940,7783,9000,9000,25784,1,15633.817431,1133.774656
1950,7819,9000,9000,25820,1,15685.964882,1141.414715
1960,7854,9000,9000,25855,1,15737.758758,1149.426411
1970,7893,9000,9000,25894,1,15789.226360,1156.999551
1980,7928,9000,9000,25929,1,15840.348024,1164.947780
1990,7969,9000,9000,25970,1,15891.149305,1172.408969
2000,8009,9000,9000,26010,1,15941.640962,1180.162938
2010,8040,9000,9000,26041,1,15991.809738,1188.081226
2020,8069,9000,9000,26070,1,16041.635336,1196.164761
2030,8106,9000,9000,26107,1,16091.119052,1203.839157
2040,8154,9000,9000,26155,1,16140.331939,1211.192833
2050,8191,9000,9000,26192,1,16189.280137,1218.937976
2060,8231,9000,9000,26232,1,16237.945398,1226.538850
2070,8267,9000,9000,26268,1,16286.316495,1234.353952
2080,8296,9000,9000,26297,1,16334.377176,1242.430503
2090,8333,9000,9000,26334,1,16382.136699,1250.042559
2100,8368,9000,9000,26369,1,16429.609405,1257.826458
2110,8417,9000,9000,26418,1,16476.826263,1265.003945
2120,8458,9000,9000,26459,1,16523.820590,1272.355791
2130,8502,9000,9000,26503,1,16570.581501,1279.929598
2140,8523,9000,9000,26524,1,16617.041096,1288.422752
2150,8575,9000,9000,26576,1,16663.237687,1295.413691
2160,8611,9000,9000,26612,1,16709.217511,1302.957033
2170,8648,9000,9000,26649,1,16754.931802,1310.725045
2180,8686,9000,8999,26686,1,16800.411380,1318.533204
2190,8739,9000,9000,26740,1,16845.679367,1325.430690
2200,8770,9000,9000,26771,1,16890.724088,1333.366572
2210,8803,9000,9000,26804,1,16935.513202,1341.102343
2220,8851,9000,9000,26852,1,16980.055654,1348.250064
2230,8882,9000,9000,26883,1,17024.384658,1356.209688
2240,8915,9000,9000,26916,1,17068.467304,1363.821316
2250,8960,9000,9000,26961,1,17112.318168,1371.032863
2260,9000,9000,9000,27001,1,17155.977063,1378.431035
2270,9000,9000,9000,27001,1,17199.346843,1387.734319
2280,9000,8999,9000,27000,1,17242.336437,1397.132955
2290,9000,9000,9000,27001,1,17284.950571,1406.528918
2300,9000,9000,9000,27001,1,17327.193878,1415.821583
2310,9000,9000,9000,27001,1,17369.071606,1425.262172
2320,9000,9000,9000,27001,1,17410.588036,1434.649769
2330,9000,9000,9000,27001,1,17451.748450,1443.932172
2340,9000,9000,9000,27001,1,17492.556880,1453.313797
2350,9000,9000,9000,27001,1,17533.018192,1462.692774
2360,9000,9000,9000,27001,1,17573.136361,1472.121319
2370,9000,9000,8999,27000,1,17612.915848,1481.337541
2380,9000,9000,9000,27001,1,17652.361233,1490.602084
2390,9000,9000,9000,27001,1,17691.475773,1499.809417
2400,9000,9000,9000,27001,1,17730.264854,1508.958711
2410,9000,9000,9000,27001,1,17768.732230,1518.049015
2420,9000,9000,8999,27000,1,17806.881940,1527.512470
2430,9000,9000,9000,27001,1,17844.717588,1536.811162
2440,9000,9000,9000,27001,1,17882.243186,1546.216144
2450,9000,9000,8999,27000,1,17919.462418,1555.564005
2460,9000,9000,9000,27001,1,17956.379098,1564.853783
2470,9000,9000,9000,27001,1,17992.996795,1574.196022
2480,9000,9000,9000,27001,1,18029.319385,1583.647803
2490,9000,9000,9000,27001,1,18065.350037,1592.928984
2500,9000,9000,9000,27001,1,18101.092162,1602.093408
2510,9000,9000,9000,27001,1,18136.549640,1611.196277
2520,9000,9000,9000,27001,1,18171.725955,1620.523371
2530,9000,9000,9000,27001,1,18206.623674,1629.674788
2540,9000,9000,9000,27001,1,18241.246991,1638.995626
2550,9000,9000,9000,27001,1,18275.598461,1648.138919
2560,9000,9000,9000,27001,1,18309.681560,1657.277686
2570,9000,9000,9000,27001,1,18343.499524,1666.529757
2580,9000,9000,9000,27001,1,18377.055498,1675.837805
2590,9000,9000,9000,27001,1,18410.352174,1685.024105
2600,9000,9000,9000,27001,1,18443.392827,1694.266380
2610,9000,9000,9000,27001,1,18476.180278,1703.505388
2620,9000,8999,9000,27000,1,18508.717001,1712.499154
2630,9000,9000,9000,27001,1,18541.006800,1721.791176
2640,9000,9000,9000,27001,1,18573.052080,1730.897257
2650,9000,9000,8999,27000,1,18604.855203,1740.121635
2660,9000,9000,9000,27001,1,18636.419322,1749.281040
2670,9000,9000,9000,27001,1,18667.746808,1758.436549
2680,9000,9000,9000,27001,1,18698.840888,1767.650567
2690,9000,9000,9000,27001,1,18729.703765,1776.924001
2700,9000,9000,9000,27001,1,18760.338172,1786.383815
2710,9000,9000,9000,27001,1,18790.746311,1795.652967
2720,9000,9000,9000,27001,1,18820.930627,1804.983122
2730,9000,9000,9000,27001,1,18850.894100,1814.247370
2740,9000,9000,9000,27001,1,18880.638441,1823.251897
2750,9000,9000,9000,27001,1,18910.166784,1832.638802
2760,9000,9000,9000,27001,1,18939.480752,1841.894534
2770,9000,9000,9000,27001,1,18968.583085,1851.147659
2780,9000,9000,9000,27001,1,18997.476571,1860.529306
2790,9000,9000,9000,27001,1,19026.162895,1869.843759
2800,8999,9000,9000,27000,1,19054.644213,1879.023871
2810,9000,9000,9000,27001,1,19082.922718,1887.934825
2820,9000,9000,9000,27001,1,19111.000740,1897.240797
2830,9000,9000,9000,27001,1,19138.880183,1906.209295
2840,9000,8999,9000,27000,1,19166.563614,1915.442349
2850,9000,9000,9000,27001,1,19194.052361,1924.537336
2860,9000,9000,9000,27001,1,19221.349154,1933.832574
2870,9000,9000,9000,27001,1,19248.455808,1943.125859
2880,9000,8999,9000,27000,1,19275.373997,1952.348495
2890,9000,9000,9000,27001,1,19302.106057,1961.430608
2900,9000,9000,9000,27001,1,19328.653789,1970.647447
2910,9000,9000,9000,27001,1,19355.018458,1979.583288
2920,9000,9000,9000,27001,1,19381.203022,1988.723788
2930,9000,9000,9000,27001,1,19407.209010,1997.931288
2940,9000,9000,9000,27001,1,19433.038008,2007.206708
2950,9000,9000,9000,27001,1,19458.691878,2016.338510
2960,9000,9000,9000,27001,1,19484.172440,2025.395976
2970,9000,9000,9000,27001,1,19509.481527,2034.521072
2980,9000,9000,9000,27001,1,19534.620306,2043.427707
2990,9000,9000,9000,27001,1,19559.591084,2052.617484
3000,9000,9000,8999,27000,1,19584.395439,2061.877042
3010,9000,9000,9000,27001,1,19609.035161,2070.989328
3020,9000,9000,9000,27001,1,19633.511787,2080.317367
3030,9000,9000,9000,27001,1,19657.826890,2089.717415
3040,9000,9000,9000,27001,1,19681.981962,2098.969521
3050,9000,9000,9000,27001,1,19705.978626,2108.219678
3060,9000,9000,8999,27000,1,19729.818331,2117.393613
3070,9000,9000,9000,27001,1,19753.502853,2126.341296
3080,9000,9000,9000,27001,1,19777.033645,2135.658917
3090,9000,9000,8999,27000,1,19800.411915,2144.824820
3100,9000,9000,9000,27001,1,19823.639523,2153.912675
3110,9000,9000,9000,27001,1,19846.717396,2163.073107
3120,9000,9000,9000,27001,1,19869.647615,2172.383241
3130,9000,9000,9000,27001,1,19892.431173,2181.386314
3140,9000,9000,9000,27001,1,19915.069844,2190.692566
3150,9000,9000,9000,27001,1,19937.564670,2199.920440
3160,8999,9000,9000,27000,1,19959.916846,2208.836884
3170,9000,9000,9000,27001,1,19982.128178,2217.904283
3180,9000,9000,9000,27001,1,20004.200000,2227.202437
3190,9000,9000,9000,27001,1,20026.133411,2236.420990
3200,9000,9000,9000,27001,1,20047.929470,2245.558973
3210,9000,9000,9000,27001,1,20069.589940,2254.536613
3220,9000,9000,9000,27001,1,20091.115791,2263.827303
3230,9000,9000,9000,27001,1,20112.508197,2272.878087
3240,9000,9000,9000,27001,1,20133.768619,2281.686265
3250,9000,9000,9000,27001,1,20154.898393,2290.729840
3260,9000,9000,9000,27001,1,20175.898691,2300.091962
3270,9000,9000,9000,27001,1,20196.770478,2309.211170
3280,9000,9000,9000,27001,1,20217.514910,2318.327818
3290,9000,9000,9000,27001,1,20238.133233,2327.523275
3300,9000,9000,9000,27001,1,20258.626650,2336.716810
3310,9000,9000,9000,27001,1,20278.996160,2345.908408
3320,9000,9000,9000,27001,1,20299.242757,2354.851181
