Tempo(s),Fila,E[N],E[W]
3200,156,63.797308,31.350028
3210,166,64.110341,31.467002
3220,176,64.435655,31.623656
3230,179,64.792238,31.781159
3240,182,65.144425,31.931609
3250,187,65.516936,32.096780
3260,199,65.908171,32.275896
3270,202,66.326927,32.478145
3280,194,66.727973,32.691225
3290,187,67.110150,32.919695
3300,180,67.461132,33.118378
3310,166,67.780172,33.301524
3320,173,68.081250,33.451199
3330,174,68.390857,33.624916
3340,175,68.712273,33.789604
3350,177,69.033461,33.914371
3360,177,69.356515,34.079832
3370,164,69.664338,34.252819
3380,162,69.942776,34.401423
3390,156,70.201421,34.540322
3400,165,70.472714,34.640339
3410,160,70.745739,34.781282
3420,167,71.011819,34.928868
3430,166,71.290167,35.102681
3440,177,71.578842,35.226211
3450,168,71.874079,35.403423
3460,166,72.140940,35.561712
3470,162,72.409496,35.685407
3480,169,72.681672,35.821020
3490,167,72.964272,36.007538
3500,171,73.227924,36.123712
3510,180,73.518372,36.242905
3520,186,73.825658,36.400941
3530,179,74.135446,36.601136
3540,188,74.438901,36.721532
3550,189,74.754948,36.868584
3560,189,75.079342,37.035119
3570,195,75.403154,37.191111
3580,189,75.724760,37.382052
3590,194,76.048392,37.527660
3600,193,76.367839,37.702170
3610,193,76.691898,37.853124
3620,188,77.012752,38.023208
3630,199,77.342130,38.156012
3640,211,77.698653,38.302153
3650,213,78.068642,38.454864
3660,211,78.438200,38.659280
3670,209,78.798364,38.807031
3680,213,79.161387,38.966547
3690,207,79.515253,39.178967
3700,207,79.861342,39.345801
3710,215,80.213843,39.500048
3720,209,80.572961,39.704784
3730,205,80.919315,39.866470
3740,209,81.255915,40.039146
3750,225,81.619114,40.187983
3760,229,81.998685,40.365941
3770,243,82.413861,40.540221
3780,251,82.849273,40.729647
3790,244,83.279372,40.942901
3800,242,83.703771,41.158687
3810,238,84.119472,41.364893
3820,233,84.513075,41.565591
3830,244,84.920387,41.730188
3840,243,85.339898,41.932848
3850,241,85.745166,42.133872
3860,238,86.146282,42.332864
3870,239,86.539822,42.538945
3880,232,86.924505,42.762404
3890,230,87.294180,42.956908
3900,233,87.662772,43.123715
3910,224,88.020373,43.350505
3920,221,88.359415,43.519149
3930,229,88.705365,43.685725
3940,228,89.061836,43.862954
3950,227,89.415807,44.055437
3960,230,89.763632,44.222939
3970,237,90.122955,44.363066
3980,242,90.501719,44.534723
3990,242,90.886911,44.748121
4000,238,91.263196,44.973855
4010,232,91.627785,45.155145
4020,231,91.976778,45.323198
4030,230,92.317682,45.487255
4040,233,92.660982,45.658052
4050,235,93.003656,45.867609
4060,238,93.359909,46.044853
4070,243,93.716881,46.177688
4080,246,94.081880,46.336802
4090,245,94.449869,46.497348
4100,241,94.803527,46.656399
