Tempo(s),E[N],E[W],ErroLittle
2620,85.955731,41.193422,1.338063
2630,86.386964,40.659905,2.566052
2640,86.842472,43.110771,-2.020202
2650,87.324435,42.250417,0.129636
2660,87.829833,43.320886,-1.543894
2670,88.334671,42.363364,0.945493
2680,88.819388,42.484127,1.240463
2690,89.283618,43.521121,-0.443376
2700,89.769812,43.012015,1.140943
2710,90.268942,43.256657,1.131254
2720,90.749852,42.617669,2.839602
2730,91.282741,43.200725,2.085393
2740,91.803605,43.957263,1.074153
2750,92.299305,44.250073,1.058604
2760,92.790024,44.385747,1.249953
2770,93.240211,45.752756,-1.199607
2780,93.703740,45.662481,-0.592066
2790,94.167990,44.993622,1.305864
2800,94.563289,45.938705,-0.214531
2810,94.969779,46.271217,-0.551614
2820,95.422362,45.613397,1.286435
2830,95.831934,46.779999,-0.669388
2840,96.270432,47.309416,-1.393613
2850,96.707289,46.781321,0.224568
2860,97.148900,47.680463,-1.213709
2870,97.552840,47.541344,-0.525696
2880,97.985578,47.048456,0.921620
2890,98.401635,47.300093,0.693770
2900,98.842876,47.204930,1.403678
2910,99.288054,46.840963,2.638182
2920,99.686701,47.611538,1.471467
2930,100.108327,49.305665,-1.494130
2940,100.479255,49.098603,-0.582379
2950,100.832454,47.922009,2.300289
2960,101.154698,45.739987,7.207229
2970,101.454162,50.787513,-2.843788
2980,101.753289,48.083069,3.120257
2990,102.033477,48.895665,1.795065
3000,102.284776,50.611328,-1.543517
3010,102.538642,49.425027,1.178140
3020,102.793076,49.774581,0.628192
3030,103.038560,51.335943,-2.276207
3040,103.267153,50.668505,-0.567214
3050,103.505851,48.772300,3.583204
3060,103.726491,52.326223,-3.498672
3070,103.979067,49.410496,2.711447
3080,104.215536,49.970757,1.943744
3090,104.399406,50.539703,1.081952
3100,104.561212,51.503854,-0.647881
3110,104.703430,51.879005,-1.253012
3120,104.848631,52.290234,-1.974263
3130,105.008742,50.660415,1.526737
3140,105.162519,54.086084,-5.266438
3150,105.335250,51.734810,-0.299663
