Tempo(s),E[N],E[W],ErroLittle
4760,43.767595,21.043346,1.743030
4770,43.860823,23.555030,-3.178150
4780,43.949103,21.566703,0.909559
4790,44.020185,20.781283,2.561304
4800,44.090053,21.308233,1.575710
4810,44.138547,23.176766,-2.095789
4820,44.172239,22.961595,-1.640185
4830,44.200090,21.514352,1.280139
4840,44.216668,22.876806,-1.404120
4850,44.208156,22.612619,-0.847554
4860,44.189478,20.802781,2.760346
4870,44.160361,21.988176,0.356391
4880,44.151314,22.052277,0.186951
4890,44.156250,22.664083,-1.045864
4900,44.178691,22.212105,-0.131836
4910,44.186097,22.858409,-1.389543
4920,44.184026,22.992494,-1.659811
4930,44.168364,20.505533,3.319265
4940,44.135666,21.755276,0.798197
4950,44.088213,21.879331,0.510793
4960,44.014200,21.090887,2.032671
4970,43.947064,21.467205,1.187065
4980,43.881136,21.489409,1.098579
4990,43.817057,21.530669,0.925990
5000,43.756397,20.812120,2.289993
5010,43.701233,21.566722,0.732511
5020,43.630968,22.339521,-0.873115
5030,43.560139,22.132092,-0.517796
5040,43.478995,21.369826,0.905414
5050,43.396393,21.251122,1.089657
5060,43.318172,22.844414,-2.175039
5070,43.242161,22.329161,-1.177679
5080,43.159762,23.020560,-2.627489
5090,43.080251,21.574419,0.177642
5100,42.997224,20.340915,2.570052
5110,42.922193,24.209501,-5.197850
5120,42.858423,20.685158,1.755564
5130,42.777477,22.671477,-2.245812
5140,42.699275,22.038067,-1.063866
5150,42.619715,23.020405,-3.090038
5160,42.549235,23.493208,-4.094946
5170,42.479968,21.948546,-1.087161
5180,42.409950,21.819491,-0.904204
5190,42.343725,20.714121,1.221339
5200,42.278468,21.799292,-1.008454
5210,42.215859,22.830795,-3.125242
5220,42.149248,20.275907,1.888847
5230,42.075647,19.419949,3.522421
5240,41.998102,21.401216,-0.468037
5250,41.923401,20.440782,1.356831
5260,41.851351,20.711538,0.756003
5270,41.773282,20.336059,1.419350
5280,41.696713,22.050031,-2.057858
5290,41.625334,22.067112,-2.148270
5300,41.555642,19.995813,1.888966
5310,41.484181,19.344884,3.116739
5320,41.408058,20.644311,0.489066
5330,41.331074,21.491305,-1.258078
5340,41.255796,21.202992,-0.755653
5350,41.184084,20.498337,0.571290
